team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
BIG RED MACHINE,23,210,9.824233793604213,7608,6739,1695,267,958,941,126,0.25152099718059057,1208,73,38,1149,528.651338888889,1516.31806,3.9386275248344376,1.2552301821192053,9,6,6,2,3,5,6,5,5,5,26,26,52,7,22
FREE BIRDS,23,257,9.19508602498479,7379,6588,1717,204,880,850,149,0.2606253794778385,1259,79,27,1256,556.0921244444445,1575.8674599999997,3.9752415567911044,1.2516818586179506,1,1,2,6,9,9,2,9,3,6,19,29,48,8,22
ERIE LAKERS,23,193,8.041696177988678,7242,6425,1677,242,914,896,117,0.261011673151751,974,58,53,910,453.01839666666666,1297.0280200000002,4.186001611909651,1.3316509445585218,3,3,3,1,10,1,8,1,1,1,20,12,32,9,22
FREE AT LAST,23,251,8.354804016215763,7631,6719,1659,240,933,900,130,0.24691174281887185,1094,66,33,1068,479.42073777777784,1378.4474099999998,3.9440462888482637,1.2600067733089577,2,5,4,3,1,2,4,2,4,3,15,15,30,10,22
WESTSIDE MARAUDERS,23,268,11.202761203468572,7603,6768,1729,264,980,940,180,0.25546690307328607,1265,79,49,1288,541.3903622222222,1546.7162560000002,3.8517891383399205,1.2227005976284586,9,8,8,9,5,10,7,10,8,9,39,44,83,1,23
NATIONAL PASTIME,23,260,10.478029438000267,7570,6791,1743,256,936,922,144,0.2566632307465764,1243,78,52,1222,537.5848577777778,1529.9081300000003,3.892408463395012,1.230819090909091,7,7,6,6,7,9,8,8,7,8,33,40,73,2,23
LOUISVILLE SLUGGERS,23,206,10.74359233253107,7928,7136,1843,267,1005,963,175,0.25826793721973096,1186,72,36,1102,525.6716533333333,1515.2481899999998,3.989076627318718,1.2776123018549745,10,9,9,8,9,6,6,5,3,2,45,22,67,3,23
MELONHEADS,23,222,9.870824265488414,7419,6577,1669,245,935,911,168,0.25376311388170897,1241,76,30,1207,538.2220322222222,1542.1962200000003,3.9033024093473,1.2427044480257858,5,6,4,7,4,8,5,7,6,7,26,33,59,4,23
BIG RED MACHINE,23,208,9.69341118941042,7514,6678,1660,267,929,930,116,0.24857741838873915,1130,69,78,1085,479.6037533333334,1419.0785700000001,3.8198529026548673,1.255821743362832,10,5,7,3,1,5,10,4,9,4,26,32,58,5,23
BLUE SOCKS,20,265,10.103684375650714,6968,6280,1619,213,852,838,180,0.25780254777070066,1160,75,29,1192,482.4579233333333,1389.8872599999997,3.7432080258620686,1.1981786724137928,2,1,1,9,8,7,4,6,10,10,21,37,58,5,23
HOOSIERS,23,229,10.268352360686922,7992,7113,1790,258,1010,975,227,0.25165190496274426,1182,69,18,1070,519.967628888889,1503.0161200000002,3.9591443824027075,1.2715872419627752,8,10,10,10,3,5,1,3,4,3,41,16,57,6,23
FREE BIRDS,23,242,9.077019159560674,7354,6507,1663,231,897,883,95,0.25557092362071615,1290,79,27,1275,579.6914511111113,1618.62481,4.044358961240311,1.2547479147286822,4,2,3,2,6,10,3,9,2,5,17,29,46,7,23
FREE AT LAST,23,250,8.321404453986105,7449,6561,1638,229,906,875,134,0.2496570644718793,1022,62,60,1016,449.3512555555556,1274.80219,3.9571049902152646,1.247360264187867,3,3,2,5,2,3,9,2,5,6,15,25,40,8,23
ERIE LAKERS,23,201,8.2728293968852,7282,6463,1682,250,921,912,123,0.2602506575893548,1053,64,22,974,483.9320088888889,1382.46306,4.136171016144349,1.312880398860399,6,4,5,4,10,4,2,1,1,1,29,9,38,9,23
